radius,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400
0.1125,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.117,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1215,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.126,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1305,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.135,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1395,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.144,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1485,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.153,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1575,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.162,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1665,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.171,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1755,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.18,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1845,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.189,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1935,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.198,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2025,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.207,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2115,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.216,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2205,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.225,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2295,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.234,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2385,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.243,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2475,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.252,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2565,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.261,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2655,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.27,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2745,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.279,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2835,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.288,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.2925,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.297,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3015,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.306,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3105,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.315,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3195,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.324,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3285,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.333,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3375,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.342,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3465,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.351,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3555,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.36,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3645,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.369,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3735,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.378,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3825,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.387,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.3915,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.396,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4005,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.405,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4095,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.414,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4185,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.423,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4275,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.432,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4365,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.441,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.4455,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
