radius,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
0.0010125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,99,98,96,99,100,100,100,100,100
0.001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,98,96,99,100,100,100,100,100
0.0010375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,98,96,99,100,100,100,100,100
0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,98,97,99,100,100,100,100,100
0.0010625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,99,97,99,100,100,100,100,100
0.001075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,99,98,100,100,100,100,100,100
0.0010875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,99,98,100,100,100,100,100,100
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,99,99,100,100,100,100,100,100
0.0011125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,99,99,99,100,100,100,100,100,100
0.001125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,95,99,99,100,100,100,100,100,100,100
0.0011375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,99,99,100,100,100,100,100,100,100
0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,99,99,100,100,100,100,100,100,100
0.0011625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,98,99,100,100,100,100,100,100,100,100
0.001175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,99,100,100,100,100,100,100,100,100,100
0.0011875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,99,100,100,100,100,100,100,100,100,100
0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,100,100,100,100,100,100,100,100,100
0.0012125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0012375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0012625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0012875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0013125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0013625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0013875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0014125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0014375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.00145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0014625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0014875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0015125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0015375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.001575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0015875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
