t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
8.389992842196309,11,flow,-0.2316502578621441,0.09829452738402121,2.1236667897687815,-0.5837716740866208,6.8364408817951565,0.3884760898055135,6.606856868797157,-0.5848127578526392,6.934577201718413,-0.6066968914956874
8.399992842196308,11,flow,-0.2099629916929134,0.09258467016250814,2.212794946017137,-0.5584259144846747,6.842124746291841,0.38902020863145104,6.63370104185692,-0.5890184201709214,6.934577201718413,-0.6066968914956874
8.409992842196308,11,flow,-0.1874150615192408,0.08712129250464706,2.295712384601494,-0.5344952834705408,6.8475660775676515,0.38951044850639316,6.66124623126829,-0.5929786938636293,6.934577201718413,-0.6066968914956874
8.41999284219631,11,flow,-0.16407118343285565,0.08188965135066992,2.3718983570965535,-0.5120986456120548,6.852779043858509,0.38995202430702713,6.68944298529713,-0.5966184658119678,6.934577201718413,-0.6066968914956874
8.42999284219631,11,flow,-0.14000123399435002,0.07687380496366174,2.4408431525599834,-0.4913563329519445,6.857779089726531,0.39034977240449453,6.718234753161456,-0.5998660516119737,6.934577201718413,-0.6066968914956874
8.43999284219631,11,flow,-0.11528008915671535,0.07205661499469458,2.502058393116369,-0.47238674341260817,6.862582925399397,0.39070815369773915,6.747558002402882,-0.6026544523478307,6.934577201718413,-0.6066968914956874
8.449992842196309,11,flow,-0.08998735621771407,0.06741978395764318,2.555088064613589,-0.4553026831822852,6.867208481441486,0.391031255610652,6.777342524860183,-0.6049226137265413,6.934577201718413,-0.6066968914956874
8.459992842196309,11,flow,-0.06420699366860433,0.06294392993290918,2.599519821581336,-0.4402076069472825,6.871674826880667,0.3913227933000444,6.8075119400817306,-0.6066166457229992,6.934577201718413,-0.6066968914956874
8.469992842196309,11,flow,-0.03802681888420546,0.058608698625031444,2.634996016661289,-0.4271919393317403,6.87600205061136,0.3915861102992876,6.837984395774788,-0.607690957345481,6.934577201718413,-0.6066968914956874
8.479992842196308,11,flow,-0.01153790939599456,0.054392910966722385,2.6612238521999947,-0.4163296782922624,6.880211107826881,0.39182417880527387,6.86867345442338,-0.6081092602565172,6.934577201718413,-0.6066968914956874
8.489992842196308,11,flow,0.015166090424007753,0.05027474243310399,2.6779840482084944,-0.4076754824226257,6.884323635260881,0.39203959980634695,6.899489144298744,-0.6078453972486256,6.934577201718413,-0.6066968914956874
8.499992842196308,11,flow,0.041989739595856085,0.04623192828167039,2.685137473777515,-0.40126242673651125,6.8883617409628215,0.39223460324614345,6.930339142693862,-0.6068839571579313,6.934577201718413,-0.6066968914956874
8.50999284219631,11,flow,0.06883662500174155,0.04224198725629064,2.6826292982726074,-0.3971005755223566,6.892347776006174,0.3924110484207235,6.961130050380541,-0.6052206465107723,6.934577201718413,-0.6066968914956874
8.51999284219631,11,flow,0.09561021367802584,0.038282455044242235,2.6704903759104774,-0.39517646901672254,6.896304096774461,0.3925704248105897,6.991768709869887,-0.6028623994656347,6.934577201718413,-0.6066968914956874
8.52999284219631,11,flow,0.12221470464688255,0.03433111813128158,2.648835767118015,-0.39545355798780873,6.900252827112578,0.3927138535475697,7.022163516914237,-0.5998272205204427,6.934577201718413,-0.6066968914956874
8.539992842196309,11,flow,0.14855585199339277,0.0303662386776143,2.617860500398648,-0.39787355406711045,6.904215629653191,0.39284208970601053,7.05222567501061,-0.5961437678639017,6.934577201718413,-0.6066968914956874
8.549992842196309,11,flow,0.17454173290869465,0.026366761682165264,2.577832866923763,-0.4023586011289182,6.908213494985742,0.3929555255810252,7.081870346546304,-0.5918506979503215,6.934577201718413,-0.6066968914956874
8.559992842196309,11,flow,0.20008343815439597,0.02231249692045815,2.5290856951496012,-0.4088141212981583,6.912266556122075,0.39305419507190154,7.111017661171921,-0.5869958027554875,6.934577201718413,-0.6066968914956874
8.569992842196308,11,flow,0.22509566745085885,0.018184269798615923,2.4720061591980578,-0.41713215331240683,6.916393934061576,0.3931377792260874,7.1395935512395505,-0.5816349793651678,6.934577201718413,-0.6066968914956874
8.579992842196308,11,flow,0.24949721812799175,0.013964037191516022,2.407024724737,-0.42719498360681596,6.920613618340496,0.39320561292124223,7.1675303947437685,-0.5758310765444437,6.934577201718413,-0.6066968914956874
8.58999284219631,11,flow,0.2732113614292782,0.009634966338789037,2.3346038301736325,-0.4388788715526314,6.924942384452057,0.39325669257521534,7.194767457125974,-0.5696526646108674,6.934577201718413,-0.6066968914956874
