t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
43.740509210635985,58,flow,-0.38063534693802076,0.18642062941820137,-0.06334439525780977,-1.1299958461339423,36.67936481729004,-2.372277266593064,36.30785439854803,-3.3007060515659,36.86470755288294,-3.3549512055794097
43.75050921063599,58,flow,-0.38067910758034823,0.17529333632187988,0.054524290814147044,-1.0956466622562497,36.69031056672318,-2.370275781280422,36.31875951969691,-3.2986883078297398,36.86470755288294,-3.3549512055794097
43.76050921063599,58,flow,-0.37954659554084463,0.16450407050724228,0.1718724376334743,-1.0623853232895688,36.70094443602563,-2.368451513964061,36.33044506541115,-3.297284231074238,36.86470755288294,-3.3549512055794097
43.770509210635986,58,flow,-0.37724415869576844,0.15404209791733017,0.2884703635333167,-1.0301837340874056,36.711273942577854,-2.3667922470971487,36.34291413079271,-3.2964755528855285,36.86470755288294,-3.3549512055794097
43.780509210635984,58,flow,-0.37378047962509786,0.14389694080635604,0.40408057637352135,-0.9990188411607656,36.72130669444253,-2.3652865180217737,36.35616921044483,-3.296240124696043,36.86470755288294,-3.3549512055794097
43.79050921063599,58,flow,-0.3691666606490992,0.13405832395005987,0.5184563942683699,-0.9688733034136664,36.731050409463364,-2.3639235732638832,36.37021204803621,-3.296551943474959,36.86470755288294,-3.3549512055794097
43.80050921063599,58,flow,-0.3634163223855095,0.12451611428578245,0.6313406270002553,-0.9397361332885271,36.740512944351835,-2.3626933261892757,36.3850434477668,-3.2973812083176255,36.86470755288294,-3.3549512055794097
43.810509210635985,58,flow,-0.356545715016658,0.11526025434847897,0.7424643604141853,-0.9116032937664666,36.74970233306585,-2.361586318231954,36.400663049386544,-3.2986944114894188,36.86470755288294,-3.3549512055794097
43.82050921063599,58,flow,-0.3485738409879656,0.1062806900288504,0.8515458950601239,-0.8844782337929161,36.75862683364396,-2.360593683857097,36.417069069309385,-3.300454468028224,36.86470755288294,-3.3549512055794097
43.83050921063599,58,flow,-0.3395225873005426,0.09756729336877651,0.9582898995771517,-0.8583723417525914,36.76729498248959,-2.359707119372734,36.43425801138614,-3.302620888430246,36.86470755288294,-3.3549512055794097
43.840509210635986,58,flow,-0.3294168649104819,0.08910978132735034,1.062386848241246,-0.8333052937852334,36.77571565490172,-2.3589188556561256,36.452224352057115,-3.3051499991849695,36.86470755288294,-3.3549512055794097
43.850509210635984,58,flow,-0.3182847520126989,0.08089763169563262,1.1635128199491294,-0.8093052712744426,36.783898130423424,-2.3582216348122134,36.470960205888474,-3.307995215929186,36.86470755288294,-3.3549512055794097
43.86050921063599,58,flow,-0.3061576371833519,0.07291999760444154,1.2613297416886151,-0.7864090200864277,36.791852161333345,-2.3576086907320004,36.49045497888619,-3.31110737369539,36.86470755288294,-3.3549512055794097
43.87050921063599,58,flow,-0.29307035750857485,0.0651656223481027,1.3554861620514023,-0.7646617234788653,36.799588042345725,-2.357073733468032,36.51069501843369,-3.314435118074158,36.86470755288294,-3.3549512055794097
43.880509210635985,58,flow,-0.2790613259778515,0.0576227565249328,1.4456186382238938,-0.7441166614852982,36.807116679325624,-2.356610937292637,36.53166327015252,-3.3179253600362664,36.86470755288294,-3.3549512055794097
43.89050921063598,58,flow,-0.26417264162117843,0.0502790797546047,1.531353811736012,-0.7248346324652752,36.81444965458462,-2.356214932252644,36.55333895335225,-3.321523795623296,36.86470755288294,-3.3549512055794097
43.90050921063599,58,flow,-0.24845017518727155,0.04312162945128127,1.6123112327448499,-0.7068831178163552,36.82159928612068,-2.355880798982981,36.57569726790431,-3.325175489692218,36.86470755288294,-3.3549512055794097
43.910509210635986,58,flow,-0.23194362267433535,0.036136739283595724,1.68810696877243,-0.6903351788880646,36.82857867802987,-2.3556040664921696,36.5987091462153,-3.3288255203983965,36.86470755288294,-3.3549512055794097
43.920509210635984,58,flow,-0.2147065188217005,0.029309990009974016,1.7583580011567272,-0.6752680860496313,36.83540175927517,-2.355380712587035,36.62234106434155,-3.332419678173568,36.86470755288294,-3.3549512055794097
43.93050921063599,58,flow,-0.1967962028368538,0.02262617531222598,1.822687371394666,-0.6617616934976703,36.84208330807636,-2.3552071665639565,36.64655492603309,-3.3359052097023834,36.86470755288294,-3.3549512055794097
43.94050921063599,58,flow,-0.17827372924593793,0.0160692850367163,1.8807299915130777,-0.6498965892489178,36.848638959410906,-2.355080313761956,36.67130803248993,-3.339231593981288,36.86470755288294,-3.3549512055794097
43.950509210635985,58,flow,-0.1592037178738944,0.009622507872680677,1.9321389802925195,-0.6397520669461335,36.85508519350517,-2.3549975015510656,36.69655314875707,-3.342351334170348,36.86470755288294,-3.3549512055794097
43.96050921063598,58,flow,-0.1396541386070515,0.003268254944324805,1.976592334527164,-0.6314039833104601,36.86143930375692,-2.3549565463198463,36.7222386749357,-3.345220745882659,36.86470755288294,-3.3549512055794097
43.97050921063599,58,flow,-0.11969602874524289,-0.0030117949250432763,2.013799696509657,-0.6249225806667806,36.8677193432547,-2.3549557410303166,36.74830892677852,-3.347800720086456,36.86470755288294,-3.3549512055794097
43.98050921063599,58,flow,-0.09940314333841,-0.009236628377304624,2.043508941154426,-0.6203703661321051,36.87394404992318,-2.354993862928022,36.77470452588767,-3.3500574372132057,36.86470755288294,-3.3549512055794097
