segment_length,run_index,rank,births
100,9,1,"0.09688036816449583"
100,10,1,"0.09688036816449583"
100,11,1,"0.09688036816449583"
100,12,1,"0.09688036816449583"
100,13,1,"0.09376347377475718"
100,14,1,"0.09688036816449583"
100,15,1,"0.09370722371790782"
100,16,1,"0.09688036816449583"
100,17,1,"0.09688036816449583"
100,18,1,"0.09615051739842047"
100,19,1,"0.09688036816449583"
100,20,1,"0.09408678770953385"
120,1,1,"0.09688036816449583"
120,2,1,"0.09512411199060723"
120,3,1,"0.09688036816449583"
120,4,1,"0.09441764262092606"
120,5,1,"0.09688036816449583"
120,6,1,"0.09688036816449583"
120,7,1,"0.09688036816449583"
120,8,1,"0.09688036816449583"
120,9,1,"0.09688036816449583"
120,10,1,"0.09688036816449583"
120,11,1,"0.09688036816449583"
120,12,1,"0.09675948783161434"
120,13,1,"0.09688036816449583"
120,14,1,"0.09398924348264781"
120,15,1,"0.09476201966477073"
120,16,1,"0.09688036816449583"
120,17,1,"0.09688036816449583"
120,18,1,"0.09688036816449583"
120,19,1,"0.09688036816449583"
120,20,1,"0.09400424525548534"
140,1,1,"0.09688036816449583"
140,2,1,"0.09688036816449583"
140,3,1,"0.09688036816449583"
140,4,1,"0.09628455749734315"
140,5,1,"0.09688036816449583"
140,6,1,"0.09688036816449583"
140,7,1,"0.09688036816449583"
140,8,1,"0.09400424525548534"
140,9,1,"0.09688036816449583"
140,10,1,"0.09560567657384725"
140,11,1,"0.09609164739575293"
140,12,1,"0.09500818329663002"
140,13,1,"0.09688036816449583"
140,14,1,"0.09688036816449583"
140,15,1,"0.09166922008256342"
140,16,1,"0.09683486450351901"
140,17,1,"0.09652150025625301"
140,18,1,"0.09408678770953385"
140,19,1,"0.09688036816449583"
140,20,1,"0.09173613861972406"
160,1,1,"0.09257886165986695"
160,2,1,"0.09688036816449583"
160,3,1,"0.09618553199820737"
160,4,1,"0.09318998176112074"
160,5,1,"0.09688036816449583"
160,6,1,"0.09161625425446632"
160,7,1,"0.09688036816449583"
160,8,1,"0.09688036816449583"
160,9,1,"0.09438953021109411"
160,10,1,"0.09688036816449583"
160,11,1,"0.09688036816449583"
160,12,1,"0.09688036816449583"
160,13,1,"0.09688036816449583"
160,14,1,"0.09688036816449583"
160,15,1,"0.09688036816449583"
160,16,1,"0.09688036816449583"
160,17,1,"0.09688036816449583"
160,18,1,"0.0926107002153568"
160,19,1,"0.09688036816449583"
160,20,1,"0.09446271845950664"
180,1,1,"0.09406092240880523"
180,2,1,"0.09669935967071032"
180,3,1,"0.09688036816449583"
180,4,1,"0.0926107002153568"
180,5,1,"0.09070145187741911"
