index,relaxed_time,physical_time,piece,step,impact,s,event
5605,77.3674517931741,33.3674517931741,arc,44,45,0.0,flow
5606,77.37745179317409,33.377451793174096,arc,44,45,0.0,flow
5607,77.3874517931741,33.387451793174094,arc,44,45,0.0,flow
5608,77.3974517931741,33.39745179317409,arc,44,45,0.0,flow
5609,77.40745179317409,33.4074517931741,arc,44,45,0.0,flow
5610,77.4174517931741,33.417451793174095,arc,44,45,0.0,flow
5611,77.4274517931741,33.42745179317409,arc,44,45,0.0,flow
5612,77.43745179317409,33.4374517931741,arc,44,45,0.0,flow
5613,77.4474517931741,33.447451793174096,arc,44,45,0.0,flow
5614,77.4574517931741,33.457451793174094,arc,44,45,0.0,flow
5615,77.46745179317409,33.46745179317409,arc,44,45,0.0,flow
5616,77.4774517931741,33.4774517931741,arc,44,45,0.0,flow
5617,77.4874517931741,33.487451793174095,arc,44,45,0.0,flow
5618,77.4974517931741,33.49745179317409,arc,44,45,0.0,flow
5619,77.50745179317408,33.50745179317409,arc,44,45,0.0,flow
5620,77.5174517931741,33.5174517931741,arc,44,45,0.0,flow
5621,77.5274517931741,33.527451793174095,arc,44,45,0.0,flow
5622,77.53745179317409,33.53745179317409,arc,44,45,0.0,flow
5623,77.5474517931741,33.5474517931741,arc,44,45,0.0,flow
5624,77.5574517931741,33.557451793174096,arc,44,45,0.0,flow
5625,77.56745179317409,33.567451793174094,arc,44,45,0.0,flow
5626,77.57745179317409,33.57745179317409,arc,44,45,0.0,flow
5627,77.5874517931741,33.5874517931741,arc,44,45,0.0,flow
5628,77.59745179317409,33.597451793174095,arc,44,45,0.0,flow
5629,77.60745179317409,33.60745179317409,arc,44,45,0.0,flow
5630,77.6174517931741,33.6174517931741,arc,44,45,0.0,flow
5631,77.62745179317409,33.627451793174096,arc,44,45,0.0,flow
5632,77.6374517931741,33.637451793174094,arc,44,45,0.0,flow
5633,77.6474517931741,33.64745179317409,arc,44,45,0.0,flow
5634,77.65745179317409,33.6574517931741,arc,44,45,0.0,flow
5635,77.6674517931741,33.667451793174095,arc,44,45,0.0,flow
5636,77.6774517931741,33.67745179317409,arc,44,45,0.0,flow
5637,77.68745179317409,33.6874517931741,arc,44,45,0.0,flow
5638,77.6974517931741,33.697451793174096,arc,44,45,0.0,flow
5639,77.7074517931741,33.707451793174094,arc,44,45,0.0,flow
5640,77.71745179317409,33.71745179317409,arc,44,45,0.0,flow
5641,77.7274517931741,33.7274517931741,arc,44,45,0.0,flow
5642,77.7374517931741,33.737451793174095,arc,44,45,0.0,flow
5643,77.7474517931741,33.74745179317409,arc,44,45,0.0,flow
5644,77.75745179317408,33.75745179317409,arc,44,45,0.0,flow
5645,77.7674517931741,33.7674517931741,arc,44,45,0.0,flow
5646,77.7774517931741,33.777451793174095,arc,44,45,0.0,flow
5647,77.78745179317409,33.78745179317409,arc,44,45,0.0,flow
5648,77.7974517931741,33.7974517931741,arc,44,45,0.0,flow
5649,77.8074517931741,33.807451793174096,arc,44,45,0.0,flow
5650,77.81745179317409,33.817451793174094,arc,44,45,0.0,flow
5651,77.82745179317409,33.82745179317409,arc,44,45,0.0,flow
5652,77.8374517931741,33.8374517931741,arc,44,45,0.0,flow
5653,77.84745179317409,33.847451793174095,arc,44,45,0.0,flow
5654,77.85745179317409,33.85745179317409,arc,44,45,0.0,flow
5655,77.86149887145685,33.861498871456845,arc,44,45,0.0,pre_impact
5656,77.88149887145684,33.861498871456845,bridge,44,45,0.02,bridge
5657,77.90149887145685,33.861498871456845,bridge,44,45,0.04,bridge
5658,77.92149887145685,33.861498871456845,bridge,44,45,0.06,bridge
5659,77.94149887145684,33.861498871456845,bridge,44,45,0.08,bridge
5660,77.96149887145684,33.861498871456845,bridge,44,45,0.1,bridge
5661,77.98149887145685,33.861498871456845,bridge,44,45,0.12,bridge
5662,78.00149887145685,33.861498871456845,bridge,44,45,0.14,bridge
5663,78.02149887145684,33.861498871456845,bridge,44,45,0.16,bridge
5664,78.04149887145685,33.861498871456845,bridge,44,45,0.18,bridge
5665,78.06149887145685,33.861498871456845,bridge,44,45,0.2,bridge
5666,78.08149887145684,33.861498871456845,bridge,44,45,0.22,bridge
5667,78.10149887145684,33.861498871456845,bridge,44,45,0.24,bridge
5668,78.12149887145685,33.861498871456845,bridge,44,45,0.26,bridge
5669,78.14149887145685,33.861498871456845,bridge,44,45,0.28,bridge
5670,78.16149887145684,33.861498871456845,bridge,44,45,0.3,bridge
5671,78.18149887145684,33.861498871456845,bridge,44,45,0.32,bridge
5672,78.20149887145685,33.861498871456845,bridge,44,45,0.34,bridge
5673,78.22149887145684,33.861498871456845,bridge,44,45,0.36,bridge
5674,78.24149887145684,33.861498871456845,bridge,44,45,0.38,bridge
5675,78.26149887145685,33.861498871456845,bridge,44,45,0.4,bridge
5676,78.28149887145685,33.861498871456845,bridge,44,45,0.42,bridge
5677,78.30149887145684,33.861498871456845,bridge,44,45,0.44,bridge
5678,78.32149887145684,33.861498871456845,bridge,44,45,0.46,bridge
5679,78.34149887145685,33.861498871456845,bridge,44,45,0.48,bridge
5680,78.36149887145685,33.861498871456845,bridge,44,45,0.5,bridge
5681,78.38149887145684,33.861498871456845,bridge,44,45,0.52,bridge
