segment_length,run_index,rank,births
250,3,1,"0.02173673725551468"
250,4,1,"0.07788033945743533"
250,5,1,"0.1017510271398718"
250,6,1,"0.09805880397384208"
250,7,1,"0.030642818187098596"
250,8,1,"0.09336984799898226"
250,9,1,"0.025982190752358362"
250,10,1,"0.11289124692550281"
250,11,1,"0.06810587788211454"
250,12,1,"0.10991356011785833"
250,13,1,"0.11489189657341"
250,14,1,"0.11121115523095593"
250,15,1,"0.09336984799898226"
250,16,1,"0.01811661175176973"
250,17,1,"0.11121115523095593"
250,18,1,"0.07604646232455473"
250,19,1,"0.11517159060916257"
250,20,1,"0.11488221476510467"
250,21,1,"0.12131434801060133"
250,22,1,"0.1174699546669011"
250,23,1,"0.10259927024270062"
250,24,1,"0.04037824296980687"
250,25,1,"0.04023050138137627"
250,26,1,"0.035295399103868696"
250,27,1,"0.11459953392786139"
250,28,1,"0.10144742999426391"
250,29,1,"0.12494925476843698"
250,30,1,"0.0144892113210481"
275,1,1,"0.015825459342298197"
275,2,1,"0.02328052400318852"
275,3,1,"0.09783309080260433"
275,4,1,"0.09806101182438447"
275,5,1,"0.024906759999969098"
275,6,1,"0.03642288385486583"
275,7,1,"0.10288146114638859"
275,8,1,"0.1073823743358496"
275,9,1,"0.020465834649873556"
275,10,1,"0.11418045665840025"
275,11,1,"0.1021228681392922"
275,12,1,"0.11289124692550281"
275,13,1,"0.012346955805551264"
275,14,1,"0.030642818187098596"
275,15,1,"0.03868844443239899"
275,16,1,"0.10030749205367202"
275,17,1,"0.04846214750255368"
275,18,1,"0.0907270504017434"
275,19,1,"0.10030749205367202"
275,20,1,"0.06431668247375459"
275,21,1,"0.03797319530994369"
275,22,1,"0.08215801531725284"
275,23,1,"0.10030749205367202"
275,24,1,"0.00998238119364238"
275,25,1,"0.10870499127756156"
275,26,1,"0.0321703541600878"
275,27,1,"0.11171914737015175"
275,28,1,"0.02228506320861862"
275,29,1,"0.039797694267624424"
275,30,1,"0.09972561283356075"
300,1,1,"0.07561886777559924"
300,2,1,"0.0144892113210481"
300,3,1,"0.0762492495426073"
300,4,1,"0.03856308307173005"
300,5,1,"0.10345142724997294"
300,6,1,"0.06810587788211454"
300,7,1,"0.015825459342298197"
300,8,1,"0.0762492495426073"
300,9,1,"0.05993643776251877"
300,10,1,"0.10991356011785833"
300,11,1,"0.08455762629755603"
300,12,1,"0.09806101182438447"
300,13,1,"0.0922504023003217"
300,14,1,"0.10262641198435851"
300,15,1,"0.1004149227975394"
300,16,1,"0.09721778368879981"
300,17,1,"0.076281071578467"
300,18,1,"0.046691282870638694"
300,19,1,"0.10175327090016288"
300,20,1,"0.07654712536975407"
300,21,1,"0.11350052183243886"
300,22,1,"0.11226197081219323"
300,23,1,"0.02633450093430022"
300,24,1,"0.11188105792130183"
300,25,1,"0.043483046807053574"
300,26,1,"0.06383382343841056"
300,27,1,"0.010837210804888347"
300,28,1,"0.1021228681392922"
300,29,1,"0.012929355292458642"
300,30,1,"0.08099210169690511"
325,1,1,"0.11121115523095593"
325,2,1,"0.09806101182438447"
325,3,1,"0.11734051888514582"
325,4,1,"0.11289124692550281"
325,5,1,"0.0922504023003217"
325,6,1,"0.09532597883854782"
325,7,1,"0.07697011288189995"
325,8,1,"0.024413997718118426"
325,9,1,"0.06431668247375459"
325,10,1,"0.09721778368879981"
325,11,1,"0.08385113131578938"
325,12,1,"0.08511711525211933"
325,13,1,"0.09665441238864722"
325,14,1,"0.024413997718118426"
325,15,1,"0.010837210804888347"
325,16,1,"0.0568678015305119"
325,17,1,"0.024906759999969098"
325,18,1,"0.016025527977185233"
325,19,1,"0.053811327934307956"
325,20,1,"0.015088842447968362"
325,21,1,"0.043483046807053574"
325,22,1,"0.0656322534892689"
325,23,1,"0.035295399103868696"
325,24,1,"0.09806101182438447"
325,25,1,"0.05799746118734172"
325,26,1,"0.033116460766868056"
325,27,1,"0.012929355292458642"
325,28,1,"0.07561886777559924"
325,29,1,"0.09727861293876572"
325,30,1,"0.04023050138137627"
350,1,1,"0.061295163787875445"
350,2,1,"0.005967048669478981"
350,3,1,"0.1122113287745182"
350,4,1,"0.11188105792130183"
350,5,1,"0.020465834649873556"
350,6,1,"0.07654712536975407"
350,7,1,"0.015088842447968362"
350,8,1,"0.10172596764333318"
350,9,1,"0.09532597883854782"
350,10,1,"0.05799746118734172"
350,11,1,"0.09180783234519488"
350,12,1,"0.0321703541600878"
350,13,1,"0.05019122983561345"
350,14,1,"0.0028114034528746684"
350,15,1,"0.017737144679638547"
350,16,1,"0.04571146742210198"
350,17,1,"0.11188105792130183"
350,18,1,"0.031610868913762774"
350,19,1,"0.06811904441621278"
350,20,1,"0.025982190752358362"
350,21,1,"0.0463202893724425"
350,22,1,"0.024413997718118426"
350,23,1,"0.11451089732649261"
350,24,1,"0.07152879604405449"
350,25,1,"0.048217110602869366"
350,26,1,"0.0922504023003217"
350,27,1,"0.03856308307173005"
350,28,1,"0.1113151417958486"
350,29,1,"0.10172596764333318"
350,30,1,"0.09727861293876572"
375,1,1,"0.09532597883854782"
375,2,1,"0.0463202893724425"
375,3,1,"0.08462914511120469"
375,4,1,"0.09628640911158684"
375,5,1,"0.0489078202080345"
375,6,1,"0.017002072421145382"
375,7,1,"0.0922504023003217"
375,8,1,"0.017002072421145382"
375,9,1,"0.06886546559097613"
